id	stratum	sense_id	iast	de_span	ru_span	verdict	severity	confidence	refutation_criterion	note
R01	short_gloss	pwg.sense:vid:vid:1:1	pratipravid	verkünden, zu wissen thun	возвестить, дать знать	faithful	none	high	Show a Russian element here that no part of "verkünden / zu wissen thun" licenses.	Two-member German doublet rendered as a two-member Russian doublet, member for member.
R02	short_gloss	pwg.sense:vid:3:1	(vid, n.)	das Wissen, Erkenntniss	знание, познание	faithful	none	high	Show that «познание» asserts a process where Erkenntniss asserts only a state, in a context where PWG uses Erkenntniss stative.	Erkenntniss/«познание» both span cognition-act and cognition-result; no narrowing.
R03	short_gloss	pwg.sense:vid:3:1	(vid, med.)	zum Weibe nehmen	{#брать в жёны#}	faithful	high	high	Show that {#...#} is a licensed wrapper for translated Russian prose anywhere in the published convention.	MEANING faithful. STRUCTURAL DEFECT: the Russian gloss is emitted inside the Sanskrit mask {#...#} instead of the gloss mask {%...%}. Russian prose now wears Sanskrit markup; any renderer or span counter keyed on {#...#} mis-types it. Correctable.
R04	short_gloss	pwg.sense:laB:pari-labh:1:1	pari-labh	erlangen, bekommen	обретать, получать	faithful	none	high	Show a modal or aspectual commitment in the Russian pair absent from the German pair.	Clean.
R05	short_gloss	pwg.sense:Sru:pratisam+śru:1:1	pratisam+śru	zusagen, versprechen	давать согласие, обещать	faithful	none	high	Show that zusagen excludes assent and means only promise in PWG usage.	zusagen covers both assent and promise; «давать согласие»+«обещать» splits that range rather than adding to it.
R06	short_gloss	pwg.sense:nI:pratiparānī-nī:1:1	pratiparānī-nī	zurückführen	возвращать, отводить обратно	faithful	low	medium	Show that «отводить обратно» asserts a manner (leading away) that zurückführen excludes.	1 German span -> 2 Russian members. Both members lie inside zurückführen's range (bring back / lead back); a doublet expansion, not a new assertion. Flagged low because unpaired expansion is the shape an addition also takes.
R07	uncertainty	pwg.sense:unresolved:han:0	saṃhan	einer <ab>best.</ab> Truppenaufstellung	построения <ab>best.</ab> войск	omission	medium	high	Show a reading of «построения best. войск» in which "best." modifies построения rather than войск.	The German qualifier "best." (= bestimmten) modifies Truppenaufstellung. In the Russian the untranslated abbreviation stands between построения and войск, so it reads as qualifying the troops, not the formation: the restriction "a PARTICULAR formation" is lost. Same record, pairs 4 vs 18: "fest -, consistent" is rendered «плотным -, плотным (consistent)» in one place and «твёрдым -, плотным (consistent)» in the other, with untranslated German residue "(consistent)" in both -- internal inconsistency plus residue.
R08	uncertainty	pwg.sense:unresolved:DA:0	dhā	hinsetzen lassen	велеть посадить	faithful	none	high	Show that the pipeline renders German causative "lassen" by something other than «велеть» elsewhere in the same store.	INITIALLY scored addition (велеть = command, stronger than the neutral causative lassen). REFUTED by R26, where the same store renders "binden -, gefangen setzen lassen" as «велеть связать -- посадить в заключение»: «велеть» is this pipeline's standing rendering of causative "lassen", i.e. a convention, not an assertion about illocutionary force.
R09	uncertainty	pwg.sense:unresolved:vas:0	pravas	10 spans incl. "caus. etwa entfernen"	10 unwrapped glosses incl. «приблизительно «удалять»»	faithful	high	high	Show a German hedge in this record that the Russian drops.	MEANING faithful throughout, and both hedges survive: "etwa" -> «приблизительно», "fehlerhaft für" -> «ошибочно вместо». STRUCTURAL DEFECT: all 10 {%...%} delimiters are absent from the Russian (10 -> 0). Gloss extractors see this record as carrying no translated glosses at all.
R10	uncertainty	pwg.sense:unresolved:jYA:0	anujñā	{%Jmd%} + {%ermächtigen, eine Erlaubniss ertheilen%}	«уполномочивать кого-л.» + «давать разрешение»	conflation	medium	high	Show that the record-level Russian prose loses a German assertion, rather than redistributing it across span boundaries.	Content is preserved at prose level but redistributed across span boundaries: the verb migrates into the span that held only "Jmd". Repeats at pairs 13/14, 21/22, 25/26. Machine consumers that zip German span n to Russian span n get the wrong pairing from index 10 on. Also: pair 17 "jubere" is left untranslated Latin inside a gloss mask, and pair 0 renders "billigen" as «санкционировать», a register raise toward the juridical.
R11	uncertainty	pwg.sense:unresolved:muc:0	pari-muc	8 spans, lösen/befreien/verlassen family	8 spans, развязывать/освобождать/покидать family	faithful	none	high	Show a Russian member in any of the 8 spans outside its German span's range.	Clean across all 8 pairs. Hedge-bearing record with no source-support defect.
R12	uncertainty	pwg.sense:unresolved:yA:0	apayā	entführen, rauben	похищать, уводить силой	addition	low	medium	Show a PWG or Sanskrit-context basis for reading "rauben" here as forcible leading-away rather than seizure.	«похищать» covers entführen; «уводить силой» adds an explicit manner ("by force") and a directional component that "rauben" (to rob, seize) does not carry. Low severity: the added manner is pragmatically typical of the act. Same record, pair 2: "wich nicht von meiner Seite" -> «не отходил от моего бока» literalises the German idiom (Seite = side, idiomatically "presence"); that is a register defect, not a source-support defect, and is deliberately NOT scored under this rubric.
R13	polysemy	pwg.sense:unresolved:gam:0	āgam	{%Kunde von Etwas%} (<ab>acc.</ab>) {%erhalten%}	{%получить весть, известие о чём-л.%} (<ab>acc.</ab>)	conflation	medium	high	Show that the (acc.) label still anchors to the same constituent after the merge.	Two German spans bracketing the (acc.) grammar label are merged into one Russian span, so the label's anchor moves from "Etwas" to the whole phrase and every later span misaligns (10 German spans, 9 Russian). Meaning survives. Also pair 0: "durchlaufen" -> «пройти насквозь, миновать»; «миновать» (pass BY) is a different trajectory from durchlaufen (pass THROUGH) -- a second, independent low-severity addition.
R14	polysemy	pwg.sense:unresolved:gA:0	gā	7 spans, hiess/singen family	7 unwrapped glosses	faithful	high	high	Show a German span in this record whose Russian is absent rather than merely unwrapped.	MEANING faithful ("der beim Volke hiess" -> «носивший в народе имя»; "gIyate" -> «называется, именуется»). STRUCTURAL DEFECT: all 7 {%...%} delimiters absent (7 -> 0).
R15	polysemy	pwg.sense:unresolved:jan:0	jan	29 spans, entstehen/gebären family	29 spans, возникать/рождать family	faithful	none	high	Show any of the 29 Russian spans asserting a meaning outside its German span.	CLEAN EXEMPLAR: 29 spans, 29 Russian spans, index-aligned, every member licensed, including the narrow ones ("gekalbt habend" -> «отелившаяся», "werden; verfliessen" -> «становиться; истекать»). This record is the audit's demonstration that a clean verdict is reachable, and it is the base of the positive control.
