line	subcard	key1	iast	sense_tag	tag_vocabulary	class	column	page	volume	review_status	reviewer	flag
3238	gam~~h0_00_pwg00	gam	gam	grammar-intro	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3250	gam~~h0_01_sec_1_0	gam	gam	a	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3251	gam~~h0_01_sec_1_0	gam	gam	b)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3252	gam~~h0_01_sec_1_0	gam	gam	c	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3253	gam~~h0_01_sec_1_0	gam	gam	d)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3254	gam~~h0_01_sec_1_0	gam	gam	e	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3255	gam~~h0_01_sec_1_0	gam	gam	f	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3256	gam~~h0_01_sec_1_0	gam	gam	g	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3257	gam~~h0_01_sec_1_0	gam	gam	1 α)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3259	gam~~h0_01_sec_1_0	gam	gam	β	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3260	gam~~h0_01_sec_1_0	gam	gam	1γ	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3261	gam~~h0_01_sec_1_0	gam	gam	δ)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3262	gam~~h0_01_sec_1_0	gam	gam	masked fragment (corrigendum note + list of {Tn} items with scattered glosses)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3264	gam~~h0_01_sec_1_1	gam	gam	1h	sense-path-like	parent-split	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3265	gam~~h0_01_sec_1_1	gam	gam	1h-beta	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3266	gam~~h0_01_sec_1_1	gam	gam	1h-gamma	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3274	gam~~h0_01_sec_1_1	gam	gam	closing	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3294	gam~~h0_09_a_di_1	gam	adhigam	7 (continued)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3312	gam~~h0_14_apa	gam	apagam	note	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3324	gam~~h0_17_a_bi	gam	abhigam	caus	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3331	gam~~h0_20_ava	gam	avagam	caus-intro	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3332	gam~~h0_20_ava	gam	avagam	caus-1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3333	gam~~h0_20_ava	gam	avagam	caus-2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3340	gam~~h0_24__a_0	gam	āgam	ppp1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3341	gam~~h0_24__a_0	gam	āgam	ppp2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3342	gam~~h0_24__a_0	gam	āgam	ppp3	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3344	gam~~h0_24__a_1	gam	āgam	caus-intro	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3345	gam~~h0_24__a_1	gam	āgam	caus-1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3346	gam~~h0_24__a_1	gam	āgam	caus-2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3347	gam~~h0_24__a_1	gam	āgam	caus-3	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3348	gam~~h0_24__a_1	gam	āgam	caus-4	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3349	gam~~h0_24__a_1	gam	āgam	intens	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3350	gam~~h0_24__a_1	gam	āgam	desid	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3356	gam~~h0_28_a_by_a	gam	abhyāgam	intro	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3359	gam~~h0_28_a_by_a	gam	abhyāgam	tail	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3362	gam~~h0_30_samud_a	gam	samudāgam	tail	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3367	gam~~h0_33_samup_a	gam	samupāgam	intro	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3370	gam~~h0_33_samup_a	gam	samupāgam	tail	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3372	gam~~h0_35_pary_a	gam	paryāgam	intro	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3375	gam~~h0_36_praty_a	gam	pratyāgam	intro	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3378	gam~~h0_36_praty_a	gam	pratyāgam	tail	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3397	gam~~h0_45_upa	gam	upagam	45	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3402	gam~~h0_45_upa	gam	upagam	contd.	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3404	gam~~h0_45_upa	gam	upagam	7 (intro)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3407	gam~~h0_45_upa	gam	upagam	c)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3408	gam~~h0_45_upa	gam	upagam	этимологическое примечание	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3414	gam~~h0_48_ni	gam	nigam	1)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3415	gam~~h0_48_ni	gam	nigam	2)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3416	gam~~h0_48_ni	gam	nigam	3)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3417	gam~~h0_48_ni	gam	nigam	4)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3418	gam~~h0_48_ni	gam	nigam	Nachtr. (zu 4.)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3455	gam~~h0_63_sam_0	gam	samgam	грам.	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3456	gam~~h0_63_sam_0	gam	samgam	1)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3457	gam~~h0_63_sam_0	gam	samgam	sam_0	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3461	gam~~h0_63_sam_0	gam	samgam	1)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3462	gam~~h0_63_sam_0	gam	samgam	2)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3463	gam~~h0_63_sam_0	gam	samgam	3)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3464	gam~~h0_63_sam_0	gam	samgam	4)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3465	gam~~h0_63_sam_0	gam	samgam	5)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3467	gam~~h0_63_sam_0	gam	samgam	1)	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3474	gam~~h0_zz_pw00	gam	gam	root-forms	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3482	gam~~h0_zz_pw00	gam	gam	8	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3483	gam~~h0_zz_pw00	gam	gam	9	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3484	gam~~h0_zz_pw00	gam	gam	10	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3485	gam~~h0_zz_pw00	gam	gam	11	sense-path-like	sense-path-unresolved	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3486	gam~~h0_zz_pw00	gam	gam	Partic.header	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3487	gam~~h0_zz_pw00	gam	gam	Partic.1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3488	gam~~h0_zz_pw00	gam	gam	Partic.1a	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3489	gam~~h0_zz_pw00	gam	gam	Partic.1b	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3490	gam~~h0_zz_pw00	gam	gam	Partic.1c	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3491	gam~~h0_zz_pw00	gam	gam	Partic.1d	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3492	gam~~h0_zz_pw00	gam	gam	Partic.1e	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3493	gam~~h0_zz_pw00	gam	gam	Partic.1f	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3494	gam~~h0_zz_pw00	gam	gam	Partic.1g	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3495	gam~~h0_zz_pw00	gam	gam	Partic.1h	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3496	gam~~h0_zz_pw00	gam	gam	Partic.1i	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3497	gam~~h0_zz_pw00	gam	gam	Partic.1k	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3498	gam~~h0_zz_pw00	gam	gam	Partic.1l	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3499	gam~~h0_zz_pw00	gam	gam	Partic.2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3500	gam~~h0_zz_pw00	gam	gam	Partic.2a	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3501	gam~~h0_zz_pw00	gam	gam	Partic.2b	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3502	gam~~h0_zz_pw00	gam	gam	Caus.header	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3503	gam~~h0_zz_pw00	gam	gam	Caus.1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3504	gam~~h0_zz_pw00	gam	gam	Caus.2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3505	gam~~h0_zz_pw00	gam	gam	Caus.3	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3506	gam~~h0_zz_pw00	gam	gam	Caus.4	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3507	gam~~h0_zz_pw00	gam	gam	Caus.5	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3508	gam~~h0_zz_pw00	gam	gam	Caus.6	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3509	gam~~h0_zz_pw00	gam	gam	Caus.7	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3510	gam~~h0_zz_pw00	gam	gam	Caus.8	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3511	gam~~h0_zz_pw00	gam	gam	Caus.9	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3512	gam~~h0_zz_pw00	gam	gam	Caus.10	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3513	gam~~h0_zz_pw00	gam	gam	Caus.11	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3514	gam~~h0_zz_pw00	gam	gam	Caus.12	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3515	gam~~h0_zz_pw00	gam	gam	Desid.header	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3516	gam~~h0_zz_pw00	gam	gam	Desid.1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3517	gam~~h0_zz_pw00	gam	gam	Desid.2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3518	gam~~h0_zz_pw00	gam	gam	Desid.3	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3519	gam~~h0_zz_pw00	gam	gam	anu113.header	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3520	gam~~h0_zz_pw00	gam	gam	anu113.1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3521	gam~~h0_zz_pw00	gam	gam	anu113.2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3522	gam~~h0_zz_pw00	gam	gam	apa115.header	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3523	gam~~h0_zz_pw00	gam	gam	apa115.1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3524	gam~~h0_zz_pw00	gam	gam	apa115.2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3525	gam~~h0_zz_pw00	gam	gam	abhi120	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3526	gam~~h0_zz_pw00	gam	gam	ati121.header	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3527	gam~~h0_zz_pw00	gam	gam	ati121.1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3528	gam~~h0_zz_pw00	gam	gam	ati121.2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3529	gam~~h0_zz_pw00	gam	gam	adhi123.header	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3530	gam~~h0_zz_pw00	gam	gam	adhi123.1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3531	gam~~h0_zz_pw00	gam	gam	adhi123.2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3532	gam~~h0_zz_pw00	gam	gam	adhi123.3	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3533	gam~~h0_zz_pw00	gam	gam	adhi123.4	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3534	gam~~h0_zz_pw00	gam	gam	adhi123.5	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3535	gam~~h0_zz_pw00	gam	gam	adhi123.6	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3536	gam~~h0_zz_pw00	gam	gam	adhi123.7	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3537	gam~~h0_zz_pw00	gam	gam	adhi123.8	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3538	gam~~h0_zz_pw00	gam	gam	adhi123.9	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3539	gam~~h0_zz_pw00	gam	gam	adhi123.10	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3540	gam~~h0_zz_pw00	gam	gam	adhiDesid.header	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3541	gam~~h0_zz_pw00	gam	gam	adhiDesid.1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3542	gam~~h0_zz_pw00	gam	gam	adhiDesid.2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3543	gam~~h0_zz_pw00	gam	gam	X145.header	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3544	gam~~h0_zz_pw00	gam	gam	X145.1	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3545	gam~~h0_zz_pw00	gam	gam	X145.2	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3546	gam~~h0_zz_pw00	gam	gam	X145.3	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
3547	gam~~h0_zz_pw00	gam	gam	anu149.header	free-form-provenance-label	tag-not-a-sense-path	2-0666	2-p0333	2	ai_translated	None	сегментация под вопросом
