pwk_L	pwk_pc	hw_slp1	iast	pipeline_tier	rank	mw_fuzzy	evidence	mw_forms	verdict	corr_n	corr_dicts	mahavy	mahavy_refs	dcs_lemma	dcs_form	body_chars	review_note
209411	7-289-a	aMSagrAhin	aṃśagrāhin	nearform0.80		arTagrAhin		arTagrAhin	near-form-needs-eyes	1	sch	0		0	0	42	
209413	7-289-a	aMSitva	aṃśitva	nearform0.92		aMSitA		aMSitA	near-form-needs-eyes	1	sch	0		0	0	39	
209415	7-289-a	aMSukapallava	aṃśukapallava	NO-MATCH	B		B:aMSu;B:aMSuDAraya		confirmed-missing	2	ben;sch	0		0	0	45	
209417	7-289-a	aMSumadBedasaMgraha	aṃśumadbhedasaṃgraha	NO-MATCH	B		B:aMSuDAraya;B:aMSUdaka		confirmed-missing	2	acc;sch	0		0	0	51	
209424	7-289-a	akata	akata	nearform0.91		akzata		akzata	near-form-needs-eyes	1	sch	0		0	0	37	
209426	7-289-a	akadvada	akadvada	NO-MATCH	B		B:akatTana		confirmed-missing	3	md;sch;stc	0		0	0	40	
209427	7-289-a	akapAla	akapāla	nearform0.93		aNkapAla		aNkapAla	near-form-needs-eyes	0		0		0	0	39	
209428	7-289-a	akapila	akapila	nearform1.00		Akapila		Akapila	covered-by-fold-twin-flagged	1	sch	0		1	1	39	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209429	7-289-a	akapilacCavi	akapilacchavi	NO-MATCH	C				confirmed-missing	2	md;sch	0		0	0	44	
209430	7-289-a	akampa	akampa	nearform1.00		Akampa		Akampa	covered-by-fold-twin-flagged	3	fri;sch;stc	0		1	0	38	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209433	7-289-a	akampra	akampra	nearform1.00		Akampra		Akampra	covered-by-fold-twin-flagged	1	sch	0		0	0	39	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209435	7-289-a	akarAla	akarāla	NO-MATCH	B		B:akaraRa;B:akarRa		confirmed-missing	3	ben;sch;stc	0		1	1	39	
209437	7-289-a	akarRagfhIta	akarṇagṛhīta	NO-MATCH	B		B:akarRa;B:akarRaDAra		confirmed-missing	1	sch	0		0	0	44	
209439	7-289-a	akarRaprAvfta	akarṇaprāvṛta	nearform0.80		Aryapravftta		Aryapravftta	near-form-needs-eyes	1	sch	0		0	0	48	
209441	7-289-a	akarta	akarta	stem				akartf	covered-by-MW-stem-form	1	sch	0		0	1	38	
209442	7-289-a	akartar	akartar	nearform0.86		akAtara		akAtara	near-form-needs-eyes	2	ccs;sch	0		0	0	112	
209443	7-289-b	akartfka	akartṛka	nearform0.88		aBartfkA		aBartfkA	near-form-needs-eyes	1	sch	0		1	0	118	
209444	7-289-b	akardama	akardama	nearform0.80		akramam		akramam	near-form-needs-eyes	2	bhs;sch	0		1	0	40	
209445	7-289-b	akarmakaraRa	akarmakaraṇa	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	44	
209446	7-289-b	akarmakAla	akarmakāla	nearform0.84		aparakAla		aparakAla	near-form-needs-eyes	1	sch	0		0	0	145	
209447	7-289-b	akarmakft	akarmakṛt	nearform0.82		AkAramat		AkAramat	near-form-needs-eyes	6	ap;cae;gst;lrv;md;sch	0		0	0	44	
209448	7-289-b	akarmaRyatA	akarmaṇyatā	nearform0.82		aramaRIyatA		aramaRIyatA	near-form-needs-eyes	1	sch	0		0	0	140	
209449	7-289-b	akarmaRyatva	akarmaṇyatva	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	44	
209450	7-289-b	akarmaprApti	akarmaprāpti	NO-MATCH	C				confirmed-missing	3	ben;md;sch	0		0	0	44	
209451	7-289-b	akarmavant	akarmavant	NO-MATCH	A		A:akali		confirmed-missing	2	sch;stc	0		0	0	92	
209454	7-289-b	akalitAtman	akalitātman	NO-MATCH	A		A:akalita		confirmed-missing	1	sch	0		0	0	43	
209455	7-289-b	akaliprasara	akaliprasara	NO-MATCH	C				confirmed-missing	2	md;sch	0		0	0	44	
